size,weight,type
2.4159394977118955,3.006286235771615,$2
2.938768384140894,2.6717289914913147,$2
1.6392633160083003,1.877312475342574,$1
1.3748954643953903,1.8255250088073072,$1
2.168431185803189,2.2620570952889683,$2
2.773153384955076,1.7692105963759275,$1
1.4297790228626095,1.6017144036323783,$1
3.092983663010883,3.209812868300345,$2
1.138943125661258,1.8511611512960335,$1
1.3623878638943943,1.8997567526993808,$1
2.5770132844438995,2.1819821602710823,$1
1.8875796180895699,2.2497319119670314,$1
2.42376227894343,2.6241212561146963,$2
2.494591392713877,2.724012423323022,$2
1.8090352756969164,2.428670602645938,$1
3.419207262810613,2.6876161126508946,$2
1.3332505624038204,2.5744155092426024,$1
1.9962354828154372,1.7733883612255463,$1
2.975648375795542,3.502555691711575,$2
2.037528545090479,2.134009200445436,$1
2.3246105723407795,1.9775864314369263,$1
2.0419059020159014,2.613505121924158,$2
2.7859123570960866,2.4668491237024295,$1
3.26699474048045,2.998281449451139,$2
1.2140215893551332,2.067899861208037,$1
1.5756479583615568,1.8844132334309793,$1
1.7207140215702066,2.0107289003363316,$1
2.15616663321709,1.8131055659886475,$1
2.2944908188484705,2.033912828987395,$2
2.6473408885156955,3.2386770998399994,$2
2.407101050318161,2.10922935428961,$2
2.542432254428574,2.557569569547397,$2
1.6821445112870481,2.0159994785312407,$1
2.8383113679064587,2.700475410840127,$2
2.538408633332941,1.641303253533305,$1
1.9897946932226485,2.01227994193379,$1
1.4835235407368963,1.7622086511352475,$1
2.5029853380764058,3.1070507216746646,$2
2.1844020313085943,1.8249655541990906,$1
1.830546016962803,1.1484278468471087,$1
1.2387013152933812,1.7250159298085077,$1
2.4601498468302263,2.2576344289243764,$1
1.984189958467949,1.7088500723553401,$1
2.715243982388217,2.2858177838143767,$1
2.1922822791206533,2.9215280295439614,$2
2.6136244726421576,2.7822615074943324,$2
1.548148874054377,1.5615881656672859,$1
3.266094065713554,3.5206211960784417,$2
1.4099786384156077,2.551097689845385,$1
1.3529962861460776,2.1091549547367148,$1
